Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\-The Haven-, 58 Down Road, Catherington, PO8 0JR_PT-ME-12-9-127.pdf",PT/ME/12/9/127,"""The Haven"", 58 Down Road, Catherington, PO8 0JR",30/05/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Land On The North Side of Mill Lane, Sheet, GU31 5RG_TGP-JK-10-6.pdf",TGP/JK/10/6,"Land On The North Side of Mill Lane, Sheet, GU31 5RG",12/05/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\283 London Road, Horndean, Clanfield, Waterlooville, PO8 0JE_PT-ME-12-9-84.pdf",PT/ME/12/9/84,"283 London Road, Horndean, Clanfield, Waterlooville, PO8 0JE",25/02/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Heatherlands, Longmoor Road, Liphook, Hampshire, GU30 7NY_TGP-DLB-10-6.pdf",TGP/DLB/10/6,"Heatherlands, Longmoor Road, Liphook, Hampshire, GU30 7NY",25/02/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\27 BALMORAL CLOSE, ALTON_AMM-D-1831.pdf",AMM/D/1831,"27 BALMORAL CLOSE, ALTON",11/04/1996,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Washford Farm, Washford Lane, Bordon, Hampshire, GU35 0ET_CW-SJ-F.22934-4-EUC 21 5-ENF 6-ENF.pdf",CW/SJ/F.22934/4/EUC 21 5/ENF 6/ENF,"Washford Farm, Washford Lane, Bordon, Hampshire, GU35 0ET",02/11/1981,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\DORMER COTTAGES, FOREST ROAD, BORDON_PWK-12-9-120.pdf",PWK/12/9/120,"DORMER COTTAGES, FOREST ROAD, BORDON",16/01/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\The New Inn, Sleaford, Nr. Bordon, Hampshire, GU35 9LH_PT-MK-12-9-121.pdf",PT/MK/12/9/121,"The New Inn, Sleaford, Nr. Bordon, Hampshire, GU35 9LH",10/01/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\2 Rose Villas, Queens Road, Liphook, GU35 9LH_PT-MK-12-9-123.pdf",PT/MK/12/9/123,"2 Rose Villas, Queens Road, Liphook, GU35 9LH",08/01/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Plot 40 Hamilton Close and Mill Chase Road, Bordon, GU35 0UD_F21110-21.pdf",F21110/21,"Plot 40 Hamilton Close and Mill Chase Road, Bordon, GU35 0UD",12/06/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\1 Blackberry Lane, Four Marks, Hampshire, Alton, GU34 5BN_N-A.pdf",N/A,"1 Blackberry Lane, Four Marks, Hampshire, Alton, GU34 5BN",17/05/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT_F24296-2.pdf",F24296/2,"The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT",17/05/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\1 WINDSOR ROAD, PETERSFIEL D_T-APP-M1710-C-85-1668-P6.pdf",T/APP/M1710/C/85/1668/P6,"1 WINDSOR ROAD, PETERSFIEL D",30/05/1985,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Riverside Close, Liss, GU33 7AE_F.26770-1.pdf",F.26770/1,"Riverside Close, Liss, GU33 7AE",22/03/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Cherokee, Blackberry Lane, Four Marks, Hampshire, GU34 5DF_APP-M1710-C-85-1269-72.pdf",APP/M1710/C/85/1269-72,"Cherokee, Blackberry Lane, Four Marks, Hampshire, GU34 5DF",28/08/1985,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Weydale House, Linford Road, Lindford, Bordon, GU35 0NX_F23197-5.pdf",F23197/5,"Weydale House, Linford Road, Lindford, Bordon, GU35 0NX",06/03/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\BOWLESWOOD FARM, GRAYSHOTT ROAD, HEADLEY DOWN, BORDON_F26218-3.pdf",F26218/3,"BOWLESWOOD FARM, GRAYSHOTT ROAD, HEADLEY DOWN, BORDON",19/02/1985,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\AT LITTLE EPSTFIELD HOLDING, WOLFE LANE, CHAWTON_T-APP-M1710-C-85-261.pdf",T/APP/M1710/C/85/261,"AT LITTLE EPSTFIELD HOLDING, WOLFE LANE, CHAWTON",11/11/1985,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Holly Lodge, Froxfield Green, Hampshire, GU32 1DQ_F27529-3.pdf",F27529/3,"Holly Lodge, Froxfield Green, Hampshire, GU32 1DQ",13/10/1986,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\AT THREE BEECH FARM, HOMESTEAD ROAD, MEDSTEAD_T-APP-M1710-C-84-2846-P6.pdf",T/APP/M1710/C/84/2846/P6,"AT THREE BEECH FARM, HOMESTEAD ROAD, MEDSTEAD",15/02/1985,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 82 to June 85 20\Lower Mead, Hollywater, Whitehill, Bordon, GU35 9AF_F22641-4.pdf",F22641/4,"Lower Mead, Hollywater, Whitehill, Bordon, GU35 9AF",01/08/1984,Planning Enforcement Notice,,,
